L	a	b
70,1563	4,6591	15,1547
69,1044	8,2223	16,1515
64,6995	15,7547	13,4341
66,6574	11,4591	15,2497
62,2372	18,2620	12,3606
67,0539	12,4136	13,5036
62,0421	17,2366	16,4757
66,7322	12,7867	14,1783
56,2791	10,4640	22,4975
51,4973	10,6752	21,2239
61,0647	7,9746	19,2284
55,4695	9,9717	21,9561
53,9466	16,6402	18,0674
56,2260	12,6328	20,2783
56,0029	15,0643	18,5015
50,7146	13,6495	20,9999
64,4484	17,3754	18,7553
55,9843	15,2273	19,6492
68,0952	8,2569	17,9218
66,8380	8,6405	19,9368
71,4627	6,4220	13,3248
70,4302	6,6203	15,2954
63,5852	17,1663	15,5301
68,8165	10,5250	15,3810
65,8207	15,6483	15,0627
65,7399	13,7647	15,7236
61,3032	22,3602	16,1695
64,4161	18,5555	15,7500
66,0982	8,8773	19,6260
62,0087	10,6659	20,3401
66,4770	8,0292	16,8121
64,7328	9,0803	18,3282
65,6704	12,6644	15,4157
64,5430	11,0375	18,8073
66,5993	14,6178	14,4324
64,9182	11,3296	16,2957
67,5522	16,1788	18,2933
63,9608	15,2542	17,1611
62,2397	8,1382	21,4165
62,6733	8,4525	21,7272
66,2472	5,4911	19,7486
61,2223	10,4880	22,0392
59,7201	13,5221	20,2491
65,1006	9,4569	21,5177
60,4252	14,5596	19,3863
59,2188	12,0757	22,5825
64,1452	16,1732	17,5087
58,7096	17,6146	20,1050
61,7672	11,0361	20,4962
64,6215	8,0168	17,8451
65,9781	8,1130	17,1373
60,6976	8,7804	17,1454
55,1317	10,6311	12,8041
64,6451	10,4914	17,5706
60,2207	15,1583	14,9469
58,1445	13,6339	15,6576
64,2933	18,3285	15,2169
60,9066	15,8230	14,1601
61,1571	8,0038	18,3196
60,2867	7,1423	18,0369
63,7137	5,7420	16,7181
56,2259	10,2359	21,5595
56,8273	12,7269	17,8221
57,7465	12,2869	17,7124
61,9960	12,4878	14,4709
56,6529	15,4085	17,1666
63,9614	13,1932	18,8006
58,8946	12,6796	17,7700
62,7928	9,6597	20,9087
61,9834	9,2217	20,4585
67,0832	5,7383	14,2040
62,9432	10,1257	18,4558
58,2371	14,2522	18,3640
65,0856	10,5297	16,8017
62,4196	13,7503	16,3612
59,5991	11,8458	20,4893
60,8688	22,0584	13,9532
59,5976	15,0136	17,4542
59,4487	8,8467	21,4873
62,9662	9,7750	20,3480
62,6779	8,7060	19,6150
59,3590	13,0797	20,5834
55,4917	12,5088	16,4244
60,2266	11,9248	19,4437
63,1658	13,9382	16,0407
59,9955	11,9313	20,8238
62,2169	20,8971	16,3882
54,9022	19,4751	16,8188
59,0998	9,3569	19,6438
59,2190	8,7009	20,1345
65,4173	6,4329	16,5425
63,1660	11,0301	18,0237
58,7269	10,6442	14,6726
63,6634	10,6924	18,2666
62,3855	13,5787	15,6885
56,0102	15,3116	17,7048
64,8022	16,0087	15,4052
59,7314	15,4306	16,9592
64,2654	9,0226	18,6414
66,8705	7,1062	19,1478
67,9192	5,8420	17,5366
60,7973	12,2951	19,0221
57,2661	13,3391	13,6004
62,3101	11,2142	17,0424
60,1188	16,4680	13,3130
59,6994	14,1998	18,2785
62,8463	18,7601	17,9167
58,2373	20,3938	15,4052
57,5392	10,9397	20,5208
60,2297	8,5092	20,9762
61,5516	8,4504	19,8996
58,4951	12,5639	20,9986
52,1643	16,9251	16,2400
55,3917	14,0283	20,3856
55,5161	14,9843	18,9136
53,4963	16,2180	18,5979
60,6573	21,9391	18,4439
54,8854	18,3576	17,5828
62,0891	8,4278	20,7119
59,9915	8,2429	20,9578
63,8882	6,8139	18,9026
62,9255	7,9647	20,5052
65,5501	8,9502	16,0594
63,1476	12,0551	17,4880
66,7007	9,6691	14,8891
60,3180	8,6810	17,9953
65,9723	14,0304	14,9767
63,1566	9,8673	17,8437
58,0626	11,2064	21,3741
55,0965	10,2019	22,1442
63,2356	8,0548	19,3939
60,3145	10,6321	20,1820
54,8488	16,5099	17,4650
60,3472	11,9801	20,6219
59,1913	14,9320	18,2059
57,2757	13,6233	19,8188
